key,date,time_rd,lottery,draw,categoria,result,best_signal,best_a11,decision,hits_quiniela_topq,hits_quiniela_top12,pale_hits,source_rows_hist_used
2026-06-18|Anguilla|Anguila 9PM|2026-06-18 21:00,2026-06-18,2026-06-18 21:00,Anguilla,Anguila 9PM,NUCLEO,80-81-76,0.010885018004677784,4,✅ JUGAR — NÚCLEO,0,0,0,1768.0
2026-06-18|La Nacional|Loteria Nacional- Noche|2026-06-18 21:00,2026-06-18,2026-06-18 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,81-43-98,0.003125866304144553,3,❌ NO JUGAR,0,0,0,1768.0
2026-06-19|La Primera|Quiniela La Primera|2026-06-19 12:00,2026-06-19,2026-06-19 12:00,La Primera,Quiniela La Primera,NUCLEO,54-56-13,0.03408565320812124,6,❌ NO JUGAR,0,0,0,2781.0
2026-06-19|Anguilla|Anguila 1PM|2026-06-19 13:00,2026-06-19,2026-06-19 13:00,Anguilla,Anguila 1PM,NUCLEO,65-15-22,0.025304892098511448,3,✅ JUGAR — NÚCLEO,0,1,0,534.0
2026-06-19|La Nacional|Loteria Nacional- Gana Más|2026-06-19 14:30,2026-06-19,2026-06-19 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,87-30-86,0.01245221505127095,2,✅ JUGAR — NÚCLEO,0,0,0,1062.0
2026-06-19|Anguilla|Anguila 6PM|2026-06-19 18:00,2026-06-19,2026-06-19 18:00,Anguilla,Anguila 6PM,NUCLEO,42-97-75,0.016212928737588703,2,✅ JUGAR — NÚCLEO,0,1,0,1581.0
2026-06-19|Anguilla|Anguila 9PM|2026-06-19 21:00,2026-06-19,2026-06-19 21:00,Anguilla,Anguila 9PM,NUCLEO,20-90-38,0.001205664835383226,2,❌ NO JUGAR,0,0,0,1841.0
2026-06-19|La Nacional|Loteria Nacional- Noche|2026-06-19 21:00,2026-06-19,2026-06-19 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,63-29-61,0.0004592180859359063,2,❌ NO JUGAR,0,2,0,1841.0
2026-06-20|La Primera|Quiniela La Primera|2026-06-20 12:00,2026-06-20,2026-06-20 12:00,La Primera,Quiniela La Primera,NUCLEO,39-93-61,0.03408565320812124,6,❌ NO JUGAR,0,1,0,2772.0
2026-06-20|Anguilla|Anguila 1PM|2026-06-20 13:00,2026-06-20,2026-06-20 13:00,Anguilla,Anguila 1PM,NUCLEO,43-05-23,0.019361008410060485,2,✅ JUGAR — NÚCLEO,0,0,0,534.0
2026-06-20|La Nacional|Loteria Nacional- Gana Más|2026-06-20 14:30,2026-06-20,2026-06-20 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,99-53-10,0.013379298410199485,2,✅ JUGAR — NÚCLEO,0,0,0,1062.0
2026-06-20|Anguilla|Anguila 6PM|2026-06-20 18:00,2026-06-20,2026-06-20 18:00,Anguilla,Anguila 6PM,NUCLEO,93-69-43,0.016212928737588703,2,✅ JUGAR — NÚCLEO,1,1,0,1581.0
2026-06-20|Anguilla|Anguila 9PM|2026-06-20 21:00,2026-06-20,2026-06-20 21:00,Anguilla,Anguila 9PM,NUCLEO,08-37-85,0.01408327593072683,3,✅ JUGAR — NÚCLEO,0,0,0,2109.0
2026-06-20|La Nacional|Loteria Nacional- Noche|2026-06-20 21:00,2026-06-20,2026-06-20 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,70-04-65,0.00815421054272714,2,🔍 JUGAR — VIGILANCIA,0,0,0,2109.0
2026-06-21|La Primera|Quiniela La Primera|2026-06-21 12:00,2026-06-21,2026-06-21 12:00,La Primera,Quiniela La Primera,NUCLEO,85-05-92,0.048413881006662544,6,❌ NO JUGAR,0,0,0,2766.0
